w_i
397.320007
400.200012
403.089996
405.970001
408.850006
411.73999
414.630005
417.519989
420.399994
423.290009
426.190002
429.079987
431.970001
434.869995
437.76001
440.660004
443.559998
446.450012
449.350006
452.25
455.160004
458.059998
460.959991
463.869995
466.769989
469.679993
472.589996
475.5
478.410004
481.320007
484.230011
487.140015
490.059998
492.970001
495.890015
498.799988
501.720001
504.640015
507.559998
510.480011
513.400024
516.330017
519.25
522.179993
525.099976
528.030029
530.960022
533.890015
536.820007
539.75
542.679993
545.619995
548.549988
551.48999
554.429993
557.359985
560.299988
563.23999
566.179993
569.119995
572.070007
575.01001
577.960022
580.900024
583.849976
586.799988
589.75
592.700012
595.650024
598.599976
601.549988
604.51001
607.460022
610.419983
613.380005
616.340027
619.299988
622.26001
625.219971
628.179993
631.150024
634.109985
637.080017
640.039978
643.01001
645.97998
648.950012
651.919983
654.890015
657.869995
660.840027
663.809998
666.789978
669.77002
672.75
675.72998
678.710022
681.690002
684.669983
687.650024
690.640015
693.619995
696.609985
699.599976
702.580017
705.570007
708.570007
711.559998
714.549988
717.539978
720.539978
723.530029
726.530029
729.530029
732.530029
735.530029
738.530029
741.530029
744.530029
747.539978
750.539978
753.549988
756.559998
759.559998
762.570007
765.580017
768.599976
771.609985
774.619995
777.640015
780.650024
783.669983
786.679993
789.700012
792.719971
795.73999
798.77002
801.789978
804.809998
807.840027
810.859985
813.890015
816.919983
819.950012
822.97998
826.01001
829.039978
832.070007
835.109985
838.140015
841.179993
844.219971
847.25
850.289978
853.330017
856.369995
859.419983
862.460022
865.5
868.549988
871.599976
874.640015
877.690002
880.73999
883.789978
886.840027
889.900024
892.950012
896.01001
899.059998
902.119995
905.179993
908.23999
911.299988
914.359985
917.419983
920.47998
923.549988
926.609985
929.679993
932.73999
935.809998
938.880005
941.950012
945.02002
948.099976
951.169983
954.23999
957.320007
960.400024
963.469971
966.549988
969.630005
972.710022
975.789978
978.880005
981.960022
985.049988
988.130005
991.219971
994.309998
997.400024
1000.48999
1003.580017
